[0916/101445.626:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x13ac00420e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/101446.321:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x13ac00420e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/101446.510:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x13ac00420e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/101446.721:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x13ac00420e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0916/101802.520:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x65d40040be00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/101803.137:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x65d40040be00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/101803.296:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x65d40040be00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/101803.506:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x65d40040be00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0916/102117.112:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x3c140041ea00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/102117.732:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x3c140041ea00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/102117.894:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x3c140041ea00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/102118.233:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x3c140041ea00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0916/141623.165:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x692c0040f400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/141623.740:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x692c0040f400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/141623.894:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x692c0040f400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/141624.282:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x692c0040f400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0916/142702.261:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x490c00408e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/142702.835:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x490c00408e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/142702.977:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x490c00408e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/142703.436:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x490c00408e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
